240,574,1,몽촌토성,Mongchontoseong,LINE 8,813,잠실,Jamsil,LINE 8,814
241,175,1,무악재,Muakjae,LINE 3,325,독립문,Dongnimmun,LINE 3,326
242,485,1,문래,Mullae,LINE 2,235,영등포구청,Yeongdeungpo-gu Office,LINE 2,236
243,571,6,문산,Munsan,Gyeongui-Jungang Line,K335,임진강,Imjingang,Gyeongui-Jungang Line,K336
244,581,1,문정,Munjeong,LINE 8,818,장지,Jangji,LINE 8,819
245,361,1,문학경기장,Munhak Sports Complex,Incheon Line1,I127,선학,Seonhak,Incheon Line1,I128
246,198,4,미금,Migeum,Shinbundang Line,D13,동천,Dongcheon,Shinbundang Line,D14
246,494,1,미금,Migeum,Bundang Line,K231,오리,Ori,Bundang Line,K232
248,249,2,미아,Mia,LINE 4,415,미아사거리,Miasamgeori,LINE 4,416
249,111,1,미아사거리,Miasamgeori,LINE 4,416,길음,Gireum,LINE 4,417
250,572,1,박촌,Bakchon,Incheon Line1,I112,임학,Imhak,Incheon Line1,I113
251,318,4,반월,Banwol,LINE 4,447,상록수,Sangnoksu,LINE 4,448
252,53,1,반포,Banpo,LINE 7,733,고속터미널,Express Bus Terminal,LINE 7,734
253,697,1,발곡,Balgok,Uijeongbu Lrt Line,U110,회룡,Hoeryong,Uijeongbu Lrt Line,U111
254,521,1,발산,Balsan,LINE 5,515,우장산,Ujangsan,LINE 5,516
255,297,2,방배,Bangbae,LINE 2,225,사당,Sadang,LINE 2,226
256,491,1,방이,Bangi,LINE 5,P551,오금,Ogeum,LINE 5,P552
257,622,2,방학,Banghak,LINE 1,115,창동,Chang-dong,LINE 1,116
258,32,1,방화,Banghwa,LINE 5,510,개화산,Gaehwasan,LINE 5,511
259,505,5,배방,Baebang,LINE 1,P174,온양온천,Onyang oncheon,LINE 1,P176
260,667,2,백마,Baengma,Gyeongui-Jungang Line,K324,풍산,Pungsan,Gyeongui-Jungang Line,K325
261,149,3,백석,Baekseok,LINE 3,313,대곡,Daegok,LINE 3,314
262,27,5,백양리,Baegyang-ri,Gyuongchun Line,P136,강촌,Gangchon,Gyuongchun Line,P137
263,193,2,백운,Baegun,LINE 1,153,동암,Dongam,LINE 1,154
264,456,1,버티고개,Beotigogae,LINE 6,632,약수,Yaksu,LINE 6,633
265,103,3,범계,Beomgye,LINE 4,442,금정,Geumjeong,LINE 4,443
266,46,1,범골,Beomgol,Uijeongbu Lrt Line,U112,경전철의정부,Lrt Uijeongbu,Uijeongbu Lrt Line,U113
267,659,2,별내,Byeollae,Gyuongchun Line,P124,퇴계원,Toegyewon,Gyuongchun Line,P125
268,334,2,병점,Byeongjeom,LINE 1,P157,서동탄,Seodongtan,LINE 1,P157-1
268,369,2,병점,Byeongjeom,LINE 1,P157,세마,Sema,LINE 1,P158
269,437,1,보라매,Boramae,LINE 7,742,신풍,Sinpung,LINE 7,743
270,423,1,보문,Bomun,Ui Lrt Line,952,신설동,Sinseol-dong,Ui Lrt Line,953
270,448,1,보문,Bomun,LINE 6,638,안암,Anam,LINE 6,639
272,187,1,보산,Bosan,LINE 1,102,동두천중앙,Dongducheon jungang,LINE 1,103
273,87,2,보정,Bojeong,Bundang Line,K234,구성,Guseong,Bundang Line,K235
274,201,1,보평,Bopyeong,Yongin Everline,Y123,둔전,Dunjeon,Yongin Everline,Y125
275,12,2,복정,Bokjeong,Bundang Line,K222,가천대,Gachon Univ.,Bundang Line,K223
275,302,3,복정,Bokjeong,LINE 8,820,산성,Sanseong,LINE 8,821
277,440,2,봉명,Bongmyeong,LINE 1,P170,쌍용,Ssangyong,LINE 1,P171
278,597,1,봉은사,Bongeunsa,LINE 9,929,종합운동장,Sports Complex,LINE 9,930
279,418,1,봉천,Bongcheon,LINE 2,229,신림,Sillim,LINE 2,230
281,286,2,부개,Bugae,LINE 1,151,부평,Bupyeong,LINE 1,152
282,370,8,부발,Bubal,Gyeonggang Line,K418,세종대왕릉,Sejongdaewangneung,Gyeonggang Line,K419
283,606,2,부천,Bucheon,LINE 1,148,중동,Jung-dong,LINE 1,149
284,317,1,부천시청,Bucheon City Hall,LINE 7,755,상동,Sang-dong,LINE 7,756
285,646,1,부천종합운동장,Bucheon Stadium,LINE 7,752,춘의,Chunui,LINE 7,753
286,192,1,부평,Bupyeong,Incheon Line1,I120,동수,Dongsu,Incheon Line1,I121
286,263,2,부평,Bupyeong,LINE 1,152,백운,Baegun,LINE 1,153
288,291,1,부평구청,Bupyeong-gu Office,Incheon Line1,I118,부평시장,Bupyeong Market,Incheon Line1,I119
290,15,1,부평삼거리,Bupyeongsamgeori,Incheon Line1,I122,간석오거리,Ganseogogeori,Incheon Line1,I123
