317,상동,Sang-dong,LINE 7,756,445320,1112172,37.505781,126.753083
318,상록수,Sangnoksu,LINE 4,448,470314,1055852,37.302795,126.866489
319,상봉,Sangbong,Gyeongui-Jungang Line,K120,518665,1137145,37.596362,127.085032
319,상봉,Sangbong,Gyuongchun Line,P120,518665,1137145,37.596362,127.085032
319,상봉,Sangbong,LINE 7,720,518665,1137145,37.596362,127.085032
322,상수,Sangsu,LINE 6,623,482785,1123665,37.547716,126.922852
323,상왕십리,Sangwangsimni,LINE 2,207,506303,1128363,37.564354,127.029354
324,상월곡,Sangwolgok,LINE 6,642,510502,1140015,37.606377,127.048491
325,상일동,Sangil-dong,LINE 5,553,536415,1126182,37.556712,127.166417
326,상천,Sangcheon,Gyuongchun Line,P133,599927,1185665,37.770246,127.454821
327,상현,Sanghyeon,Shinbundang Line,D17,,,37.297664,127.069342
328,새말,sae-mal,Uijeongbu Lrt Line,U119,513990,1179480,37.748885,127.06362
329,새절,Saejeol,LINE 6,616,480680,1135812,37.591148,126.913629
330,샛강,Saetgang,LINE 9,916,483932,1115178,37.517274,126.928422
331,서강대,Sogang Univ.,Gyeongui-Jungang Line,K313,485615,1124847,37.551881,126.935711
332,서구청,Seo-gu Office,Incheon Line2,I210,,,37.543742,126.676787
333,서대문,Seodaemun,LINE 5,532,492467,1128777,37.565773,126.966641
334,서동탄,Seodongtan,LINE 1,P157-1,511347,1026050,37.195504,127.051672
335,서부여성회관,West Woman's Community Center,Incheon Line2,I214,,,37.506193,126.676203
336,서빙고,Seobinggo,Gyeongui-Jungang Line,K112,497257,1115882,37.519594,126.988537
337,서울대입구,Seoul Nat`l Univ.,LINE 2,228,489440,1105242,37.481247,126.952739
338,서울숲,Seoul-forest,Bundang Line,K211,509642,1122580,37.543617,127.044707
339,서울역,Seoul Station,Airport Railroad Line,A01,493365,1125595,37.554648,126.972559
339,서울역,Seoul Station,Gyeongui-Jungang Line,P313,493365,1125595,37.556328,126.969522
339,서울역,Seoul Station,LINE 1,133,493365,1125595,37.554648,126.972559
339,서울역,Seoul Station,LINE 4,426,493365,1125595,37.554648,126.972559
343,서정리,Seojeong-ri,LINE 1,P163,511607,987472,37.056496,127.052819
344,서초,Seocho,LINE 2,224,501595,1108160,37.491897,127.007917
345,서현,Seohyeon,Bundang Line,K228,527192,1078555,37.385126,127.123592
346,석계,Seokgye,LINE 1,120,514452,1142315,37.614805,127.065851
346,석계,Seokgye,LINE 6,644,514452,1142315,37.614805,127.065851
348,석남,Seongnam,Incheon Line2,I213,,,37.506193,126.676203
349,석바위시장,Seokbawi Market,Incheon Line2,I220,,,37.457611,126.692575
350,석수,Seoksu,LINE 1,P145,478195,1092480,37.435047,126.902295
